,Facility.Name,Facility.City,Facility.State Name,Facility.State Abbreviation,Rating.Effectiveness,Procedure.Hip Knee.Cost,Rating.Mortality,Rating.Overall,Procedure.Heart Failure.Value,Rating.Timeliness,Rating.Experience,Procedure.Hip Knee.Quality,Procedure.Heart Attack.Quality,Procedure.Heart Failure.Quality,Procedure.Hip Knee.Value,Procedure.Pneumonia.Quality,Rating.Imaging,Facility.Type,Rating.Safety,Rating.Readmission,Procedure.Heart Attack.Value,Procedure.Pneumonia.Value,Procedure.Pneumonia.Cost,Procedure.Heart Attack.Cost,Procedure.Heart Failure.Cost
15,Banner Desert Medical Center,Mesa,,AZ,Same,20235,Same,2,Higher,Below,Below,Average,Average,Average,Lower,Average,Above,Private,Below,Below,Average,Higher,19400,24071,18314
16,Havasu Regional Medical Center,Lake Havasu City,Arizona,AZ,Same,18805,Same,3,Lower,Same,Below,Average,Average,Average,Lower,Average,Below,Proprietary,Above,Above,Average,Lower,16147,23317,15333
17,Northwest Medical Center,Tucson,,AZ,Same,19558,Below,2,Average,Same,Below,Average,Average,Worse,Lower,Worse,Same,Proprietary,Above,Above,Average,Higher,18607,23260,17054
18,Scottsdale Shea Medical Center,Scottsdale,Arizona,AZ,Same,21997,Above,4,Higher,Above,Below,Average,Average,Average,Average,Average,Above,Proprietary,Above,Below,Average,Average,17751,23301,18707
19,Banner Baywood Medical Center,Mesa,Arizona,AZ,Same,21605,Same,4,Higher,Same,Below,Average,Average,Average,Average,Average,Above,Private,Below,Above,Average,Average,17531,25224,17736
20,Banner Thunderbird Medical Center,Glendale,Arizona,AZ,Same,19064,Same,2,Higher,Below,Below,Average,Average,Average,Lower,Average,Above,Government,Below,Above,Average,Higher,19097,22732,18262
21,Honorhealth Deer Valley Medical Center,Phoenix,Arizona,AZ,Same,21815,Same,3,Higher,Same,Below,Average,Average,Average,Average,Average,Same,Private,Below,Above,Average,Higher,19389,24315,18623
22,Banner Del E. Webb Medical Center,Sun City West,Arizona,AZ,Same,18592,Same,4,Average,Same,Below,Average,Average,Average,Lower,Average,Above,Private,Same,Above,Average,Higher,19262,23111,16561
23,Abrazo Arrowhead Campus,Glendale,Arizona,AZ,Same,21481,Same,3,Higher,Same,Below,Average,Average,Average,Average,Average,Same,Proprietary,Above,Below,Average,Average,17700,25293,19001
24,Western Arizona Regional Medical Center,Bullhead City,Arizona,AZ,Same,17588,Same,1,Average,Below,Below,Average,Average,Average,Lower,Average,Below,Proprietary,Below,Above,Higher,Average,16277,26191,16458
25,Mayo Clinic Hospital,Phoenix,Arizona,AZ,Same,19770,Above,5,Lower,Same,Above,Average,Average,Better,Lower,Better,Above,Private,Above,Above,Lower,Average,17148,20975,15598
26,Oro Valley Hospital,Oro Valley,Arizona,AZ,Same,18414,Same,4,Average,Below,Same,Average,Average,Average,Lower,Average,Same,Proprietary,Above,Below,Average,Lower,15983,23921,15647
27,Banner Estrella Medical Center,Phoenix,Arizona,AZ,Same,19066,Same,4,Lower,Below,Same,Average,Average,Average,Lower,Average,Above,Private,Above,Above,Average,Average,17055,22965,14901
28,Valley View Medical Center,Fort Mohave,Arizona,AZ,Same,16785,Same,3,Average,Same,Same,Average,Average,Average,Lower,Average,Below,Proprietary,Above,Same,Average,Higher,19509,22279,15587
29,Mercy Gilbert Medical Center,Gilbert,Arizona,AZ,Same,20106,Same,3,Higher,Same,Same,Average,Average,Average,Lower,Average,Above,Church,Below,Below,Average,Higher,19714,23666,19177
30,"Mountain Vista Medical Center, Lp",Mesa,Arizona,AZ,Same,20632,,2,Higher,Below,Below,Average,Average,Average,Lower,Average,Same,Proprietary,Below,Same,Average,Higher,21986,25230,19306
31,Scottsdale Thompson Peak Medical Center,Scottsdale,Arizona,AZ,Same,19295,Same,5,Higher,Above,Above,Average,Average,Average,Lower,Average,Above,Proprietary,Above,Above,Average,Average,17368,23570,18980
32,Washington Regional Medical Center,Fayetteville,Arkansas,AR,Same,19837,Below,2,Higher,Same,Same,Better,Average,Worse,Lower,Worse,Below,Private,Below,Above,Average,Average,18378,23918,18251
33,Chi-st Vincent Infirmary,Little Rock,Arkansas,AR,Same,17565,Below,1,Higher,Below,Below,Average,Average,Average,Lower,Average,Same,Private,Below,Below,Higher,Higher,18833,26033,17916
34,Mercy Hospital Northwest Arkansas,Rogers,Arkansas,AR,Same,18954,Same,4,Average,Same,Same,Average,Average,Average,Lower,Average,Below,Church,Above,Above,Average,Higher,18870,24212,17025
35,White County Medical Center,Searcy,Arkansas,AR,Same,20455,Below,4,Average,Same,Same,Average,Average,Average,Lower,Average,Same,Private,Above,Above,Average,Average,17200,21960,15913
36,Uams Medical Center,Little Rock,Arkansas,AR,Same,17093,Same,1,Average,Below,Same,Average,Average,Average,Lower,Average,Above,Government,Below,Below,Average,Average,18331,23850,16244
37,St Bernards Medical Center,Jonesboro,Arkansas,AR,Same,21598,Below,2,Higher,Same,Above,Average,Worse,Worse,Average,Worse,Same,Private,Above,Below,Higher,Higher,18648,27055,18868
38,Northwest Medical Center-springdale,Springdale,Arkansas,AR,Above,22873,Below,3,Average,Same,Below,Average,Average,Worse,Average,Average,Same,Proprietary,Above,Above,Average,Lower,15918,25222,17113
39,Chi St. Vincent Hospital Hot Springs,Hot Springs,Arkansas,AR,Same,21248,,3,Average,Above,Below,Average,Average,Average,Lower,Average,Below,Church,Above,Below,Lower,Average,17338,20995,15979
40,Baxter Regional Medical Center,Mountain Home,,AR,Same,21156,Below,3,Lower,Above,Above,Average,Average,Average,Lower,Worse,Below,Private,Above,Below,Average,Lower,16649,25016,15552
41,Conway Regional Medical Center,Conway,Arkansas,AR,Same,23752,Below,3,Average,Above,Above,Average,Average,Average,Higher,Worse,Same,Private,Above,Above,Lower,Average,17488,20100,16641
42,Baptist Health Medical Center North Little Rock,North Little Rock,Arkansas,AR,Below,20487,Below,2,Average,Same,Same,Average,Average,Average,Lower,Worse,Above,Private,Above,Below,Average,Average,17871,24238,17778
43,Arkansas Methodist Medical Center,Paragould,Arkansas,AR,Same,24892,Same,2,Average,Above,Same,Average,Worse,Worse,Higher,Average,Same,Private,Above,Below,Average,Average,17479,23965,16462
44,St Marys Regional Medical Center,Russellville,Arkansas,AR,Same,22587,Same,2,Average,Same,Below,Average,Average,Average,Average,Average,Same,Proprietary,Above,Below,Average,Average,18428,23888,16985
45,Sparks Regional Medical Center,Fort Smith,,AR,Same,22348,Below,1,Higher,Same,Below,Average,Average,Worse,Average,Worse,Below,Proprietary,Below,Below,Average,Higher,19571,24876,17625
46,Mercy Hospital Fort Smith,Fort Smith,Arkansas,AR,Below,23049,Same,3,Higher,Same,Above,Average,Average,Average,Higher,Average,Above,Private,Above,Below,Average,Higher,19615,23545,18047
47,Jefferson Regional Medical Center,Pine Bluff,Arkansas,AR,Same,25184,Below,1,Average,Same,Below,Average,Average,Average,Higher,Worse,Below,Private,Below,Below,Average,Average,17721,23425,16813
48,National Park Medical Center,Hot Springs,,AR,Same,25612,Below,1,Average,Same,Below,Average,Average,Average,Higher,Worse,Below,Proprietary,Below,Below,Average,Higher,19665,23826,17819
49,Saline Memorial Hospital,Benton,Arkansas,AR,Below,22834,,1,Average,Below,Below,Average,Average,Worse,Average,Average,Same,Proprietary,Above,Below,Average,Lower,16240,23424,16113
50,Medical Center Of South Arkansas,El Dorado,,AR,Same,25586,Below,2,Average,Above,Same,Average,Average,Average,Higher,Average,Same,Proprietary,Below,Above,Average,Average,17224,25385,16388
51,Baptist Health Medical Center-little Rock,Little Rock,Arkansas,AR,Same,18853,Below,1,Higher,Same,Below,Average,Average,Average,Lower,Worse,Above,Private,Above,Below,Average,Average,17808,25112,17609
52,Nea Baptist Memorial Hospital,Jonesboro,,AR,Below,24114,Same,2,Average,Above,Above,Worse,Average,Average,Higher,Average,Below,Private,Same,Below,Average,Average,18127,23310,16511
53,White River Medical Center,Batesville,Arkansas,AR,Same,17496,Same,3,Average,Above,Same,Average,Average,Worse,Lower,Average,Above,Private,Same,Above,Average,Average,17858,25729,17069
54,St Rose Hospital,Hayward,California,CA,Same,26462,Same,2,Average,Same,Below,Average,Average,Average,Higher,Average,Same,Church,Above,Below,Higher,Higher,18907,27618,16525
55,St Joseph Hospital,Eureka,California,CA,Below,18464,Same,2,Lower,Below,Below,Average,Average,Average,Lower,Average,Same,Private,Below,Above,Lower,Average,16981,21152,15369
56,Mills-peninsula Medical Center,Burlingame,California,CA,Same,20339,Above,5,Average,Same,Above,Average,Average,Better,Lower,Average,Same,Private,Above,Above,Average,Lower,16021,23897,17357
57,Queen Of The Valley Medical Center,Napa,California,CA,Same,18451,Same,3,Average,Below,Below,Average,Average,Average,Lower,Average,Same,Church,Above,Above,Average,Lower,15553,23484,16615
58,Adventist Health St Helena,Saint Helena,California,CA,Same,16738,Same,3,Average,Same,Same,Better,Average,Average,Lower,Average,Same,Private,Above,Same,Average,Average,16818,24816,17846
59,Mercy General Hospital,Sacramento,California,CA,Same,21853,Same,3,Average,Below,Above,Average,Average,Average,Average,Average,Above,Church,Below,Same,Average,Average,16936,25177,16534
60,Riverside Community Hospital,Riverside,California,CA,Same,23251,Same,2,Average,Below,Below,Average,Average,Average,Average,Average,Same,Proprietary,Above,Below,Higher,Average,18315,26609,17619
61,Paradise Valley Hospital,National City,,CA,Same,26481,Same,2,Average,Below,Below,Average,Average,Average,Higher,Average,Same,Proprietary,Above,Above,Average,Higher,22080,25196,17182
62,Grossmont Hospital,La Mesa,California,CA,Same,18944,,2,Average,Below,Below,Average,Average,Average,Lower,Average,Same,Government,Above,Below,Higher,Average,18044,26107,16696
63,Oroville Hospital,Oroville,California,CA,Below,23670,Above,1,Lower,Below,Below,Average,Average,Better,Higher,Better,Below,Private,Below,Below,Average,Average,16816,23987,14587
64,Bakersfield Memorial Hospital,Bakersfield,California,CA,Same,18426,,2,Average,Below,Below,Average,Average,Worse,Lower,Average,Same,Private,Above,Below,Average,Average,18768,22921,16443
65,Enloe Medical Center,Chico,California,CA,Same,19781,,4,Lower,Same,Above,Average,Average,Average,Lower,Average,Above,Private,Above,Below,Average,Average,16930,24569,15297
66,Alta Bates Summit Medical Center,Oakland,California,CA,Same,22299,Above,5,Average,Below,Below,Average,Average,Better,Average,Average,Same,Private,Above,Above,Average,Higher,19049,22574,17246
67,El Centro Regional Medical Center,El Centro,California,CA,Same,18510,Same,2,Average,Below,Below,Average,Average,Average,Lower,Average,Same,Government,Same,Below,Average,Average,17718,24176,17193
68,California Pacific Medical Ctr-pacific Campus Hosp,San Francisco,California,CA,Above,20661,Above,4,Average,Below,Below,Average,Average,Average,Lower,Average,Below,Private,Below,Above,Average,Lower,15249,21972,15993
69,San Gorgonio Memorial Hospital,Banning,California,CA,Same,16779,Same,3,Average,Below,Same,Average,Average,Average,Lower,Average,Same,Government,Same,Same,Average,Average,19194,24081,16770
70,Kaweah Delta Medical Center,Visalia,California,CA,Same,18099,Same,3,Average,Below,Below,Average,Average,Average,Lower,Average,Same,Government,Above,Same,Higher,Lower,16055,25480,16277
71,Glendale Mem Hospital & Hlth Center,Glendale,,CA,Same,25275,Above,3,Higher,Same,Below,Average,Average,Better,Higher,Average,Same,Private,Above,Below,Average,Higher,20541,25307,20210
72,Community Regional Medical Center,Fresno,California,CA,Same,23432,Same,2,Average,Below,Below,Average,Average,Average,Average,Average,Same,Private,Below,Below,Average,Average,17808,24337,16670
73,Hollywood Presbyterian Medical Center,Los Angeles,California,CA,Same,26762,Above,1,Higher,Same,Below,Average,Average,Better,Higher,Better,Same,Proprietary,Below,Below,Average,Higher,21382,25447,19864
74,St Joseph Hospital,Orange,,CA,Below,24254,Below,3,Higher,Below,Above,Average,Average,Average,Higher,Average,Same,Church,Below,Above,Average,Higher,18841,25913,18696
75,Scripps Mercy Hospital,San Diego,California,CA,Same,24794,Same,2,Higher,Below,Below,Average,Average,Average,Higher,Average,Same,Private,Below,Below,Average,Higher,18961,24834,17945
76,St Johns Regional Medical Center,Oxnard,California,CA,Same,25882,Above,4,Higher,Below,Below,Average,Average,Better,Higher,Average,Above,Private,Same,Above,Higher,Average,17560,27713,18720
77,St Joseph's Medical Center Of Stockton,Stockton,California,CA,Same,23604,Below,2,Average,Below,Below,Average,Average,Average,Average,Average,Same,Church,Same,Below,Average,Higher,18973,25231,17035
78,Saint Agnes Medical Center,Fresno,,CA,Same,22917,Same,2,Average,Below,Below,Average,Average,Average,Higher,Worse,Same,Church,Above,Below,Average,Lower,16315,22896,16148
79,Sharp Memorial Hospital,San Diego,California,CA,Same,20760,Same,4,Higher,Same,Above,Average,Average,Average,Lower,Average,Above,Private,Same,Above,Average,Average,17480,23706,17857
80,Sutter Solano Medical Center,Vallejo,California,CA,Same,25898,Same,2,Lower,Below,Below,Worse,Average,Average,Higher,Average,Same,Private,Below,Above,Average,Average,18344,25881,15023
81,White Memorial Medical Center,Los Angeles,California,CA,Same,24444,Above,3,Average,Below,Below,Average,Average,Average,Higher,Better,Same,Church,Same,Same,Average,Average,18295,26568,17508
82,Marian Regional Medical Center,Santa Maria,California,CA,Same,20307,Below,4,Average,Same,Same,Average,Average,Worse,Lower,Average,Below,Church,Above,Above,Average,Average,16812,24146,15666
83,"Sutter Medical Center, Sacramento",Sacramento,California,CA,Same,20204,Same,4,Average,Below,Same,Average,Average,Average,Lower,Average,Above,Private,Same,Above,Average,Lower,16499,23334,17120
84,Santa Monica - Ucla Med Ctr & Orthopaedic Hospital,Santa Monica,California,CA,Same,23604,Above,5,Average,Below,Same,Average,Average,Better,Higher,Better,Same,Private,Above,Below,Average,Higher,18552,24227,16541
85,Palomar Health Downtown Campus,Escondido,California,CA,Same,19565,Same,4,Average,Below,Above,Average,Average,Average,Lower,Average,Above,Government,Above,Above,Average,Higher,18880,25059,17004
86,Northridge Hospital Medical Center,Northridge,California,CA,Same,23812,Above,2,Higher,Below,Same,Worse,Better,Average,Higher,Average,Above,Private,Below,Below,Average,Higher,19079,25263,18774
87,Adventist Health Hanford,Hanford,California,CA,Below,18458,Same,2,Lower,Below,Below,Average,Average,Average,Lower,Worse,Below,Church,Above,Below,Average,Lower,16223,22235,14492
88,Usc Verdugo Hills Hospital,Glendale,California,CA,Same,21169,Same,2,Average,Same,Below,Average,Average,Average,Average,Average,Same,Private,Below,Below,Average,Higher,18594,24947,17165
89,Regional Medical Center Of San Jose,San Jose,California,CA,Same,29328,Same,1,Average,Below,Below,Average,Average,Average,Higher,Average,Above,Government,Below,Below,Average,Average,17788,24994,16570
90,Tri-city Medical Center,Oceanside,California,CA,Same,22083,Same,2,Average,Below,Below,Average,Average,Average,Average,Average,Same,Government,Below,Above,Lower,Average,18312,21418,17337
91,St Bernardine Medical Center,San Bernardino,California,CA,Same,22980,,1,Average,Below,Below,Average,Average,Average,Average,Average,Same,Private,Below,Below,Average,Higher,23030,23714,17940
92,San Gabriel Valley Medical Center,San Gabriel,California,CA,Same,29263,Above,4,Higher,Same,Below,Average,Average,Better,Higher,Better,Same,Proprietary,Same,Below,Average,Higher,23192,26508,21118
93,Rideout Memorial Hospital,Marysville,California,CA,Same,23421,Below,1,Average,Below,Below,Average,Average,Average,Average,Worse,Above,Government,Below,Same,Average,Lower,15738,22970,16782
94,Community Hospital Of The Monterey Peninsula,Monterey,California,CA,Same,19417,Same,5,Average,Same,Above,Average,Average,Average,Lower,Average,Above,Private,Same,Above,Average,Lower,16578,24438,16437
95,O'connor Hospital,San Jose,California,CA,Same,22018,Same,1,Average,Below,Below,Average,Average,Average,Average,Average,Above,Private,Below,Below,Average,Average,18169,24150,17234
96,Ventura County Medical Center,Ventura,California,CA,Same,24854,Same,2,Lower,Below,Below,Average,Average,Average,Higher,Average,Same,Government,Same,Same,Average,Lower,15342,25083,14270
97,St Jude Medical Center,Fullerton,California,CA,Same,20909,Same,5,Higher,Below,Above,Average,Average,Average,Lower,Average,Same,Church,Above,Above,Average,Higher,20882,25366,19523
98,Pih Health Hospital-whittier,Whittier,California,CA,Below,21311,Above,4,Average,Below,Above,Average,Average,Better,Average,Better,Below,Private,Above,Below,Lower,Higher,18574,21942,15862
99,Santa Rosa Memorial Hospital,Santa Rosa,California,CA,Same,19397,Same,3,Average,Below,Below,Average,Average,Better,Lower,Average,Above,Private,Below,Above,Average,Lower,16318,22528,17697
100,Emanuel Medical Center,Turlock,California,CA,Same,19433,,1,Average,Below,Below,Average,Average,Average,Lower,Average,Above,Church,Below,Below,Average,Average,17177,23465,16489
101,Watsonville Community Hospital,Watsonville,California,CA,Below,19200,Same,2,Average,Below,Below,Average,Average,Average,Lower,Average,Same,Proprietary,Same,Above,Average,Average,18214,25723,15358
102,Washington Hospital,Fremont,California,CA,Same,17354,Above,2,Average,Below,Below,Better,Average,Average,Lower,Average,Same,Government,Same,Below,Average,Average,17725,24580,16143
103,Sequoia Hospital,Redwood City,California,CA,Same,21209,Above,5,Average,Same,Above,Average,Average,Average,Lower,Average,Same,Private,Above,Above,Average,Average,17910,23439,16848
104,Palmdale Regional Medical Center,Palmdale,California,CA,Same,22048,Same,2,Average,Below,Same,Average,Average,Average,Average,Average,Above,Proprietary,Below,Same,Lower,Higher,20011,21235,15820
105,Sharp Chula Vista Medical Center,Chula Vista,California,CA,Same,23710,Above,4,Average,Below,Same,Average,Average,Average,Higher,Average,Above,Proprietary,Above,Below,Average,Average,17707,23832,16685
106,Adventist Health Feather River,Paradise,California,CA,Same,17799,Same,3,Average,Below,Same,Average,Average,Average,Lower,Average,Same,Church,Below,Above,Average,Lower,16398,23462,15606
107,Ahmc Anaheim Regional Medical Center,Anaheim,California,CA,Same,29150,Same,3,Higher,Below,Below,Average,Average,Average,Higher,Average,Same,Private,Below,Same,Average,Higher,19912,24034,19165
108,Zuckerberg San Francisco General Hosp & Trauma Ctr,San Francisco,California,CA,Below,24723,Same,1,Lower,Below,Same,Average,Average,Average,Higher,Average,Same,Government,Below,Same,Lower,Lower,15537,20738,14761
109,Pomona Valley Hospital Medical Center,Pomona,California,CA,Same,23685,Same,2,Average,Below,Below,Average,Average,Average,Average,Average,Same,Private,Above,Below,Average,Higher,20568,23716,17826
110,French Hospital Medical Center,San Luis Obispo,California,CA,Same,20257,Below,4,Average,Same,Above,Average,Average,Average,Lower,Average,Below,Private,Above,Above,Average,Average,17504,24559,16930
111,Providence Saint Joseph Medical Ctr,Burbank,California,CA,Same,23232,Above,2,Average,Below,Same,Average,Average,Average,Higher,Average,Same,Church,Below,Below,Average,Higher,18849,25152,17417
112,Methodist Hospital Of Southern Ca,Arcadia,California,CA,Same,25206,Above,3,Higher,Below,Same,Average,Average,Better,Higher,Average,Above,Private,Below,Above,Average,Higher,20429,23414,18659
113,Glendale Adventist Medical Center,Glendale,California,CA,Same,21164,Above,3,Higher,Below,Same,Average,Average,Better,Average,Average,Below,Private,Below,Below,Higher,Higher,19198,25942,18210
114,Dominican Hospital,Santa Cruz,California,CA,Same,21993,Same,3,Average,Below,Below,Average,Average,Average,Average,Average,Above,Proprietary,Same,Above,Average,Average,17362,23995,17501
115,Desert Regional Medical Center,Palm Springs,California,CA,Same,18946,Same,2,Higher,Below,Below,Average,Average,Average,Lower,Average,Same,Proprietary,Below,Above,Higher,Average,17831,26153,18467
116,Marshall Medical Center,Placerville,California,CA,Below,19527,Same,2,Average,Below,Same,Average,Average,Average,Lower,Average,Below,Private,Same,Below,Average,Average,16992,24116,16168
117,Sierra View Medical Center,Porterville,California,CA,Same,22422,Below,1,Lower,Below,Below,Average,Average,Average,Average,Worse,Below,Private,Below,Above,Average,Lower,16213,22610,15138
118,Redlands Community Hospital,Redlands,California,CA,Same,18554,Same,4,Average,Below,Same,Average,Average,Average,Lower,Average,Below,Government,Below,Above,Average,Average,18733,23661,15086
119,Providence Holy Cross Medical Center,Mission Hills,California,CA,Same,27153,Same,3,Average,Below,Above,Average,Average,Average,Higher,Average,Same,Church,Below,Below,Average,Higher,19011,23291,17299
120,Mercy Medical Center Redding,Redding,California,CA,Same,19940,Below,1,Average,Below,Below,Better,Worse,Worse,Lower,Worse,Above,Private,Below,Above,Higher,Average,17240,26167,17593
121,Stanford Health Care - Valleycare,Pleasanton,California,CA,Same,19024,Same,4,Average,Same,Above,Average,Average,Average,Lower,Average,Same,Private,Same,Above,Average,Higher,19118,26023,17477
122,Seton Medical Center,Daly City,California,CA,Same,25855,Above,3,Average,Below,Same,Average,Average,Better,Higher,Average,Below,Church,Below,Below,Average,Average,18288,25515,17687
123,Providence Saint John's Health Center,Santa Monica,California,CA,Same,18495,Above,4,Average,Below,Same,Better,Average,Better,Lower,Better,Above,Private,Below,Above,Average,Average,17456,24194,17630
124,Hazel Hawkins Memorial Hospital,Hollister,,CA,Below,20835,,2,Lower,Same,Same,Average,Average,Average,Average,Average,Below,Government,Same,Below,Average,Lower,14116,21540,14546
125,St Mary Medical Center,Apple Valley,California,CA,Below,24169,Above,2,Average,Below,Below,Average,Average,Better,Higher,Average,Same,Private,Below,Below,Average,Higher,18923,23418,16978
126,Adventist Health Ukiah Valley,Ukiah,California,CA,Same,20012,Same,3,Average,Same,Below,Average,Average,Worse,Lower,Average,Same,Church,Above,Above,Average,Lower,15652,23857,15328
127,Alta Bates Summit Medical Center - Alta Bates Camp,Berkeley,California,CA,Same,21020,Same,3,Average,Below,Below,Average,Average,Average,Lower,Average,Same,Private,Same,Above,Average,Average,17686,22701,17881
128,El Camino Hospital,Mountain View,California,CA,Same,20168,Same,4,Higher,Below,Above,Average,Average,Average,Lower,Average,Same,Government,Above,Above,Higher,Average,17347,27346,17742
129,Sutter Tracy Community Hospital,Tracy,California,CA,Same,26286,Same,4,Average,Same,Same,Average,Average,Average,Higher,Average,Same,Private,Above,Above,Average,Average,19047,23515,15766
130,Loma Linda University Medical Center,Loma Linda,California,CA,Same,19416,Same,3,Higher,Below,Same,Average,Average,Average,Lower,Average,Below,Private,Above,Below,Average,Higher,19832,22415,18531
131,Adventist Health Sonora,Sonora,California,CA,Same,18651,Below,3,Average,Below,Below,Average,Average,Average,Lower,Average,Same,Church,Above,Above,Average,Lower,15515,24508,15725
132,Pioneers Memorial Healthcare District,Brawley,California,CA,Same,21213,Same,2,Average,Below,Below,Average,Average,Average,Average,Average,Same,Government,Below,Below,Average,Average,17208,25363,16477
133,University Of California Irvine Med Center,Orange,California,CA,Same,22743,Same,3,Average,Below,Same,Average,Average,Average,Average,Average,Below,Government,Above,Same,Average,Average,17614,24059,17851
134,Providence Little Company Of Mary Med Ctr Torrance,Torrance,California,CA,Same,19941,Above,4,Higher,Below,Same,Average,Average,Better,Lower,Better,Same,Church,Above,Above,Average,Average,18215,25451,17909
135,Marin General Hospital,Greenbrae,California,CA,Same,22018,Same,3,Average,Below,Below,Average,Average,Average,Average,Average,Same,Government,Above,Same,Lower,Average,17212,21274,17327
136,Good Samaritan Hospital,San Jose,California,CA,Same,21028,Same,2,Higher,Same,Below,Average,Average,Average,Lower,Average,Above,Proprietary,Same,Below,Higher,Higher,18637,26927,18054
137,Citrus Valley Medical Center-ic Campus,Covina,California,CA,Below,22316,Above,2,Higher,Below,Below,Average,Average,Average,Average,Average,Below,Proprietary,Below,Below,Average,Higher,22199,25864,18978
138,Pih Hospital - Downey,Downey,,CA,Same,24506,Above,3,Average,Below,Below,Average,Average,Average,Higher,Better,Same,Private,Same,Below,Lower,Higher,20143,20696,17696
139,Community Memorial Hospital San Buenaventura,Ventura,California,CA,Same,23636,Same,2,Average,Below,Below,Average,Average,Average,Higher,Average,Same,Private,Below,Above,Higher,Lower,16382,26516,17113
140,Santa Barbara Cottage Hospital,Santa Barbara,California,CA,Same,20113,Same,5,Average,Below,Above,Average,Average,Average,Lower,Average,Above,Private,Above,Above,Average,Average,17254,25067,16994
141,Mercy Hospital Of Folsom,Folsom,California,CA,Above,19847,Same,3,Average,Below,Same,Average,Average,Average,Lower,Average,Above,Private,Above,Below,Average,Average,17860,24835,15528
142,Stanford Health Care,Stanford,California,CA,Same,21935,Above,4,Average,Below,Above,Average,Average,Better,Average,Average,Same,Private,Below,Above,Lower,Average,18170,21563,17352
143,Mercy Medical Center,Merced,California,CA,Above,22207,Same,1,Average,Below,Below,Average,Average,Average,Average,Worse,Same,Private,Below,Below,Average,Average,17437,25973,15844
144,Adventist Health Bakersfield,Bakersfield,California,CA,Same,17541,Below,2,Average,Below,Below,Average,Average,Average,Lower,Average,Below,Private,Above,Above,Average,Higher,18858,23680,17837
